County FIPS,Total Population 2055,Affected Population 2055,Total Population 2080,Affected Population 2080,Total Population 2100,Affected Population 2100,
36101,130945.430205,0.000000,148489.104260,0.000000,162532.324354,0.000000,
36103,2397812.433370,14061.090553,2897534.639517,31143.000356,3297312.404435,59390.187555,
36105,96585.819295,0.000000,107040.303780,0.000000,115410.487098,0.000000,
36107,74354.056367,0.000000,87253.617532,0.000000,97573.910670,0.000000,
36109,142845.515843,0.000000,165712.939612,0.000000,184006.878628,0.000000,
36111,254495.689664,1174.641335,294592.933186,1665.043135,326672.823750,1964.182539,
36113,94699.200485,0.000000,110700.460862,0.000000,123501.469163,0.000000,
36115,83828.622566,0.000000,95224.244694,0.000000,104340.675240,0.000000,
36117,131960.877316,0.000000,153179.970927,0.000000,170155.245815,0.000000,
36119,1281067.136974,236.727026,1465667.341677,1976.831741,1613394.114741,4699.559878,
36121,54275.593253,0.000000,60963.322396,0.000000,66313.505711,0.000000,
36123,33476.528525,0.000000,37921.372299,0.000000,41477.854576,0.000000,
37001,225803.580198,0.000000,267207.372876,0.000000,300336.164734,0.000000,
37003,57291.392839,0.000000,68409.931901,0.000000,77304.763151,0.000000,
37005,16360.551405,0.000000,19284.419035,0.000000,21623.513138,0.000000,
37007,34882.232493,0.000000,39281.656915,0.000000,42810.474444,0.000000,
37009,39191.577676,0.000000,45746.145276,0.000000,50989.799356,0.000000,
37011,24966.092730,0.000000,28989.396913,0.000000,32210.834132,0.000000,
37013,69453.559570,2053.985932,81603.561749,5545.770487,91336.139058,8782.632824,
37015,27479.134481,734.570383,30973.728017,1792.405717,33777.841574,1984.925029,
37017,49813.023413,3.237101,57940.270484,3.317666,64451.860321,5.107158,
37019,168907.962805,5162.372609,202397.972500,7056.113125,229189.980256,10054.293974,
37021,352109.646918,0.000000,415247.112891,0.000000,465784.746643,0.000000,
37023,139260.912908,0.000000,166163.655147,0.000000,187685.848938,0.000000,
37025,264594.446447,0.000000,312891.193114,0.000000,351539.610727,0.000000,
37027,127155.419519,0.000000,151669.248202,0.000000,171280.311148,0.000000,
37029,13828.583305,775.109313,15970.467204,2347.382841,17683.974323,2820.592335,
37031,106209.869055,5393.923597,128244.050596,13112.299576,145871.657040,19643.172570,
37033,32936.609216,0.000000,38043.153037,0.000000,42128.388094,0.000000,
37035,239354.031534,0.000000,286438.516503,0.000000,324108.685672,0.000000,
37037,94499.403452,0.000000,111663.544694,0.000000,125394.857687,0.000000,
37039,40328.736300,0.000000,47473.549905,0.000000,53189.400788,0.000000,
37041,21308.241442,832.339310,24952.279081,2398.340552,27870.617308,2868.858845,
37043,15798.521125,0.000000,18719.060353,0.000000,21055.491736,0.000000,
37045,145038.529212,0.000000,171089.160220,0.000000,191933.168785,0.000000,
37047,80630.456599,3.813129,93167.254783,4.192012,103203.276328,7.173900,
37049,158572.271979,2081.262644,189131.150501,9178.827620,213603.053415,13344.682571,
37051,513895.387785,0.000000,621767.745942,0.000000,708095.444138,0.000000,
37053,37295.535994,1910.498348,44471.826550,11929.774160,50212.858994,17890.461319,
37055,56575.837369,2699.004402,68633.163755,12848.917240,78279.024863,21757.254314,
37057,253215.769004,0.000000,303339.051799,0.000000,343440.789961,0.000000,
37059,62805.312070,0.000000,74796.457404,0.000000,84389.373672,0.000000,
37061,80396.378852,0.412456,92638.988093,0.412456,102433.075487,0.412456,
37063,407994.974644,0.000000,485956.245628,0.000000,548358.332281,0.000000,
37065,81859.084229,0.000000,95911.278529,0.000000,107178.185552,0.000000,
37067,534573.537452,0.000000,636509.202319,0.000000,718103.167529,0.000000,
37069,88579.390468,0.000000,103799.235463,0.000000,115975.111459,0.000000,
37071,311673.360693,0.000000,370222.540468,0.000000,417074.546870,0.000000,
37073,16624.291032,422.379587,19116.929980,1719.664047,21111.041140,2066.599768,
37075,12796.010251,0.000000,15053.577436,0.000000,16859.631184,0.000000,
37077,83719.713717,0.000000,96930.823533,0.000000,107501.059321,0.000000,
37079,28173.588228,0.741422,32028.236712,1.585257,35111.955500,1.770236,
37081,748610.987496,0.000000,892726.241628,0.000000,1008091.262309,0.000000,
37083,75920.425946,0.000000,87715.838351,0.000000,97175.435987,0.000000,
37085,170934.940227,0.000000,202339.881902,0.000000,227466.385102,0.000000,
37087,86928.274277,0.000000,102302.787158,0.000000,114605.269094,0.000000,
37089,166167.832345,0.000000,198874.721474,0.000000,225044.111786,0.000000,
37091,33700.650548,421.451555,38745.539060,1020.685575,42781.449870,1180.780312,
37093,69635.047975,0.000000,82260.614355,0.000000,92361.690407,0.000000,
37095,7724.861845,673.949035,8693.761392,4114.311075,9468.881030,6355.353959,
37097,241124.414294,0.000000,286611.108761,0.000000,323012.955576,0.000000,
37099,59401.663225,0.000000,69988.565228,0.000000,78458.086831,0.000000,
37101,248629.741273,0.000000,292967.068876,0.000000,328445.778758,0.000000,
37103,13727.547858,77.215869,15709.353182,163.841856,17294.797442,215.181966,
37105,88802.986595,0.000000,105859.605555,0.000000,119504.900723,0.000000,
37107,87176.472143,2.158140,102639.888207,10.218235,115012.322304,13.231473,
37109,119822.050097,0.000000,142946.978204,0.000000,161447.721829,0.000000,
37111,66735.497950,0.000000,78837.855455,0.000000,88523.602119,0.000000,
37113,53587.665426,0.000000,64287.522174,0.000000,72847.407572,0.000000,
37115,28034.733400,0.000000,32043.312870,0.000000,35251.190583,0.000000,
37117,33652.293647,284.546953,38729.398231,616.553412,42795.101439,1396.314428,
37119,1437462.596115,0.000000,1724382.160911,0.000000,1953980.983827,0.000000,
37121,21796.034105,0.000000,25251.454928,0.000000,28015.775885,0.000000,
37123,40320.389848,0.000000,47231.913835,0.000000,52761.133024,0.000000,
37125,136364.732561,0.000000,162924.257141,0.000000,184175.352114,0.000000,
37127,141742.221479,0.000000,167375.560041,0.000000,187896.763636,0.000000,
37129,312777.852773,10939.557425,373388.423139,14719.710484,421909.215742,18965.424075,
37131,28799.160518,0.000000,32606.138198,0.000000,35664.878385,0.000000,
37133,276174.023448,8353.942068,330457.747930,15253.471340,373884.727516,18784.477820,
37135,211274.638336,0.000000,254321.677795,0.000000,288760.935425,0.000000,
37137,18872.778188,221.620461,22117.452465,1860.016408,24713.191887,2864.443976,
37139,58152.982692,3233.529041,67965.412248,5308.298969,75826.980966,7916.778736,
37141,79192.470772,3714.729373,94142.543896,5155.487348,106102.602396,6459.077628,
37143,19234.059742,1220.004899,22461.790832,1836.172111,25046.239303,2272.021640,
37145,57786.391216,0.000000,67901.767141,0.000000,75998.530955,0.000000,
37147,254463.444714,781.526724,301968.300282,2266.602950,339980.873210,3152.575170,
37149,30163.099440,0.000000,35450.228573,0.000000,39679.931879,0.000000,
37151,221006.086419,0.000000,265114.994851,0.000000,300402.121596,0.000000,
37153,65984.007865,0.000000,76714.639759,0.000000,85307.171081,0.000000,
37155,197315.827227,0.000000,232498.248477,0.000000,260670.571709,0.000000,
37157,137960.969790,0.000000,162580.091071,0.000000,182285.767434,0.000000,
37159,205257.654081,0.000000,242345.687397,0.000000,272036.974622,0.000000,
37161,98369.690433,0.000000,115183.818648,0.000000,128638.473863,0.000000,
37163,88618.929590,1.349801,102713.568412,1.463313,113990.927917,3.512961,
37165,53532.258867,0.000000,63225.245740,0.000000,70993.528429,0.000000,
37167,88865.733056,0.000000,104659.411407,0.000000,117299.978572,0.000000,
37169,72370.977364,0.000000,86238.896053,0.000000,97333.231004,0.000000,
37171,110628.839474,0.000000,131050.367051,0.000000,147396.475642,0.000000,
37173,20353.816908,0.000000,23925.981207,0.000000,26783.712647,0.000000,
37175,50111.770821,0.000000,59632.605415,0.000000,67249.532249,0.000000,
37177,5504.583631,474.739177,6106.576403,2331.137704,6588.170620,4008.815604,
37179,301436.020817,0.000000,357174.155840,0.000000,401770.729835,0.000000,
37181,66631.250450,0.000000,78318.419414,0.000000,87678.161441,0.000000,
37183,1410715.324962,0.000000,1692920.704904,0.000000,1918719.281570,0.000000,
37185,28041.799037,0.000000,32063.228684,0.000000,35282.128587,0.000000,
37187,19078.787825,1139.930576,22330.869369,2616.648485,24939.340466,3429.423413,
37189,77265.290958,0.000000,91541.444606,0.000000,102962.367524,0.000000,
37191,186347.035513,0.000000,221478.534651,0.000000,249590.984260,0.000000,
37193,103815.621432,0.000000,122915.720893,0.000000,138204.381211,0.000000,
37195,117929.776747,0.000000,138258.375182,0.000000,154530.333612,0.000000,
37197,57148.954175,0.000000,67580.511983,0.000000,75925.758229,0.000000,
37199,25903.151863,0.000000,30323.042725,0.000000,33858.955414,0.000000,
38001,2525.359567,0.000000,2636.736164,0.000000,2728.568919,0.000000,
38003,12687.574229,0.000000,13618.227025,0.000000,14369.579774,0.000000,
38005,8052.715149,0.000000,8894.240966,0.000000,9581.729675,0.000000,
38007,765.037139,0.000000,757.821453,0.000000,752.908551,0.000000,
38009,7078.215062,0.000000,7440.329328,0.000000,7737.047753,0.000000,
38011,3814.536313,0.000000,4184.657759,0.000000,4481.062196,0.000000,
38013,1738.200845,0.000000,1652.120656,0.000000,1595.204916,0.000000,
38015,125366.749665,0.000000,150005.758158,0.000000,169725.445537,0.000000,
38017,224981.786830,0.000000,266705.640028,0.000000,300098.234301,0.000000,
38019,4112.813841,0.000000,4231.632830,0.000000,4344.502412,0.000000,
