County FIPS,Total Population 2042,Affected Population 2042,Total Population 2059,Affected Population 2059,Total Population 2071,Affected Population 2071,Total Population 2082,Affected Population 2082,Total Population 2091,Affected Population 2091,Total Population 2100,Affected Population 2100,
19045,58874.249419,0.000000,64072.426020,0.000000,67747.356440,0.000000,71119.347568,0.000000,73880.262076,0.000000,76642.765007,0.000000,
19047,19439.318313,0.000000,20767.994324,0.000000,21715.026984,0.000000,22588.476157,0.000000,23306.351878,0.000000,24026.771806,0.000000,
19049,84498.573155,0.000000,94197.032830,0.000000,101046.190425,0.000000,107326.450256,0.000000,112465.978435,0.000000,117606.399928,0.000000,
19051,9504.710402,0.000000,9899.698359,0.000000,10184.236950,0.000000,10448.384618,0.000000,10666.510594,0.000000,10886.207862,0.000000,
19053,8569.550321,0.000000,8654.424935,0.000000,8721.380465,0.000000,8786.867754,0.000000,8842.941615,0.000000,8900.976365,0.000000,
19055,20946.047973,0.000000,22575.893327,0.000000,23728.636082,0.000000,24786.645834,0.000000,25653.099426,0.000000,26520.191657,0.000000,
19057,48220.804707,0.000000,52417.015643,0.000000,55389.443737,0.000000,58120.261440,0.000000,60358.271560,0.000000,62599.202000,0.000000,
19059,20466.911349,0.000000,22367.246722,0.000000,23708.659926,0.000000,24938.288696,0.000000,25944.348600,0.000000,26950.408503,0.000000,
19061,119322.599356,0.000000,132984.229445,0.000000,142637.451903,0.000000,151491.944198,0.000000,158740.002825,0.000000,165990.802980,0.000000,
19063,11435.634755,0.000000,12036.669946,0.000000,12463.489909,0.000000,12856.229984,0.000000,13178.462958,0.000000,13501.402235,0.000000,
19065,22286.438557,0.000000,23092.966956,0.000000,23667.152880,0.000000,24196.349822,0.000000,24631.070640,0.000000,25067.165782,0.000000,
19067,17943.991245,0.000000,18810.439101,0.000000,19426.326545,0.000000,19993.396584,0.000000,20458.887455,0.000000,20925.580128,0.000000,
19069,11043.476995,0.000000,11253.594827,0.000000,11406.152801,0.000000,11548.489043,0.000000,11666.464325,0.000000,11785.638633,0.000000,
19071,7295.723901,0.000000,7258.753015,0.000000,7242.792573,0.000000,7234.042155,0.000000,7230.432942,0.000000,7229.605514,0.000000,
19073,9665.075194,0.000000,9883.556757,0.000000,10049.220048,0.000000,10207.727297,0.000000,10341.434922,0.000000,10478.295618,0.000000,
19075,14099.120824,0.000000,14985.002194,0.000000,15610.330219,0.000000,16183.547576,0.000000,16652.543595,0.000000,17121.539614,0.000000,
19077,11781.743128,0.000000,12207.774468,0.000000,12514.113812,0.000000,12798.208396,0.000000,13032.644338,0.000000,13268.651563,0.000000,
19079,17483.439746,0.000000,18475.583263,0.000000,19182.671911,0.000000,19834.787710,0.000000,20370.737670,0.000000,20908.578565,0.000000,
19081,12677.047588,0.000000,13405.011777,0.000000,13921.125208,0.000000,14395.556620,0.000000,14784.537387,0.000000,15174.157913,0.000000,
19083,19451.444313,0.000000,20490.776749,0.000000,21230.274857,0.000000,21911.573447,0.000000,22471.081151,0.000000,23032.228741,0.000000,
19085,15597.027398,0.000000,16001.670740,0.000000,16294.351978,0.000000,16566.782081,0.000000,16792.199887,0.000000,17019.606754,0.000000,
